id,raceId,year,round,sessionNumber,code,name,startTimeUtc,endTimeUtc,isRace,cancelled
fia-formula-2-championship_2017_bahrain_free-practice,25792d4f-6576-45d8-be25-3cf181c12586,2017,1,1,,Free Practice,2017-04-14T08:30:00Z,2017-04-14T09:15:00Z,False,False
fia-formula-2-championship_2017_bahrain_qualifying,25792d4f-6576-45d8-be25-3cf181c12586,2017,1,4,,Qualifying,2017-04-14T17:00:00Z,2017-04-14T17:30:00Z,False,False
fia-formula-2-championship_2017_bahrain_grid,25792d4f-6576-45d8-be25-3cf181c12586,2017,1,5,,Grid,2017-04-14T21:00:00Z,,False,False
fia-formula-2-championship_2017_bahrain_feature-race,25792d4f-6576-45d8-be25-3cf181c12586,2017,1,6,,Feature Race,2017-04-15T10:10:00Z,2017-04-15T11:15:00Z,True,False
fia-formula-2-championship_2017_bahrain_grid-2,25792d4f-6576-45d8-be25-3cf181c12586,2017,1,7,,Grid,2017-04-15T21:00:00Z,,False,False
fia-formula-2-championship_2017_bahrain_sprint-race,25792d4f-6576-45d8-be25-3cf181c12586,2017,1,8,,Sprint Race,2017-04-16T11:15:00Z,2017-04-16T12:05:00Z,True,False
fia-formula-2-championship_2017_catalunya_free-practice,5d86d520-0d33-42f8-8cd5-81cf37482ee8,2017,2,1,,Free Practice,2017-05-12T10:00:00Z,2017-05-12T10:45:00Z,False,False
fia-formula-2-championship_2017_catalunya_qualifying,5d86d520-0d33-42f8-8cd5-81cf37482ee8,2017,2,4,,Qualifying,2017-05-12T13:55:00Z,2017-05-12T14:25:00Z,False,False
fia-formula-2-championship_2017_catalunya_grid,5d86d520-0d33-42f8-8cd5-81cf37482ee8,2017,2,5,,Grid,2017-05-12T22:00:00Z,,False,False
fia-formula-2-championship_2017_catalunya_feature-race,5d86d520-0d33-42f8-8cd5-81cf37482ee8,2017,2,6,,Feature Race,2017-05-13T13:40:00Z,2017-05-13T14:45:00Z,True,False
fia-formula-2-championship_2017_catalunya_grid-2,5d86d520-0d33-42f8-8cd5-81cf37482ee8,2017,2,7,,Grid,2017-05-13T22:00:00Z,,False,False
fia-formula-2-championship_2017_catalunya_sprint-race,5d86d520-0d33-42f8-8cd5-81cf37482ee8,2017,2,8,,Sprint Race,2017-05-14T08:35:00Z,2017-05-14T09:25:00Z,True,False
fia-formula-2-championship_2017_monaco_free-practice,667442c8-3b27-40ab-8b98-f24ac60236a2,2017,3,1,,Free Practice,2017-05-25T10:00:00Z,2017-05-25T10:45:00Z,False,False
fia-formula-2-championship_2017_monaco_1st-qualifying,667442c8-3b27-40ab-8b98-f24ac60236a2,2017,3,2,,1st Qualifying,2017-05-25T14:15:00Z,2017-05-25T14:31:00Z,False,False
fia-formula-2-championship_2017_monaco_2nd-qualifying,667442c8-3b27-40ab-8b98-f24ac60236a2,2017,3,3,,2nd Qualifying,2017-05-25T14:39:00Z,2017-05-25T14:55:00Z,False,False
fia-formula-2-championship_2017_monaco_grid,667442c8-3b27-40ab-8b98-f24ac60236a2,2017,3,5,,Grid,2017-05-25T22:00:00Z,,False,False
fia-formula-2-championship_2017_monaco_feature-race,667442c8-3b27-40ab-8b98-f24ac60236a2,2017,3,6,,Feature Race,2017-05-26T09:30:00Z,2017-05-26T10:35:00Z,True,False
fia-formula-2-championship_2017_monaco_grid-2,667442c8-3b27-40ab-8b98-f24ac60236a2,2017,3,7,,Grid,2017-05-26T22:00:00Z,,False,False
fia-formula-2-championship_2017_monaco_sprint-race,667442c8-3b27-40ab-8b98-f24ac60236a2,2017,3,8,,Sprint Race,2017-05-27T14:10:00Z,2017-05-27T15:00:00Z,True,False
fia-formula-2-championship_2017_baku_free-practice,811656dd-1804-4e03-b214-d3c2d19cda3d,2017,4,1,,Free Practice,2017-06-23T07:00:00Z,2017-06-23T07:45:00Z,False,False
fia-formula-2-championship_2017_baku_qualifying,811656dd-1804-4e03-b214-d3c2d19cda3d,2017,4,4,,Qualifying,2017-06-23T11:00:00Z,2017-06-23T11:30:00Z,False,False
fia-formula-2-championship_2017_baku_grid,811656dd-1804-4e03-b214-d3c2d19cda3d,2017,4,5,,Grid,2017-06-23T20:00:00Z,,False,False
fia-formula-2-championship_2017_baku_feature-race,811656dd-1804-4e03-b214-d3c2d19cda3d,2017,4,6,,Feature Race,2017-06-24T08:00:00Z,2017-06-24T09:05:00Z,True,False
fia-formula-2-championship_2017_baku_grid-2,811656dd-1804-4e03-b214-d3c2d19cda3d,2017,4,7,,Grid,2017-06-24T20:00:00Z,,False,False
fia-formula-2-championship_2017_baku_sprint-race,811656dd-1804-4e03-b214-d3c2d19cda3d,2017,4,8,,Sprint Race,2017-06-25T10:00:00Z,2017-06-25T10:50:00Z,True,False
fia-formula-2-championship_2017_red-bull-ring_free-practice,17a5fb15-57a3-4e5f-81c2-2a8b2d80c9a6,2017,5,1,,Free Practice,2017-07-07T10:00:00Z,2017-07-07T10:45:00Z,False,False
fia-formula-2-championship_2017_red-bull-ring_qualifying,17a5fb15-57a3-4e5f-81c2-2a8b2d80c9a6,2017,5,4,,Qualifying,2017-07-07T13:55:00Z,2017-07-07T14:25:00Z,False,False
fia-formula-2-championship_2017_red-bull-ring_grid,17a5fb15-57a3-4e5f-81c2-2a8b2d80c9a6,2017,5,5,,Grid,2017-07-07T22:00:00Z,,False,False
fia-formula-2-championship_2017_red-bull-ring_feature-race,17a5fb15-57a3-4e5f-81c2-2a8b2d80c9a6,2017,5,6,,Feature Race,2017-07-08T13:35:00Z,2017-07-08T14:40:00Z,True,False
fia-formula-2-championship_2017_red-bull-ring_grid-2,17a5fb15-57a3-4e5f-81c2-2a8b2d80c9a6,2017,5,7,,Grid,2017-07-08T22:00:00Z,,False,False
fia-formula-2-championship_2017_red-bull-ring_sprint-race,17a5fb15-57a3-4e5f-81c2-2a8b2d80c9a6,2017,5,8,,Sprint Race,2017-07-09T08:20:00Z,2017-07-09T09:10:00Z,True,False
fia-formula-2-championship_2017_silverstone_free-practice,52a5ffe9-1be9-48ee-b695-31511f04bdbd,2017,6,1,,Free Practice,2017-07-13T14:30:00Z,2017-07-13T15:15:00Z,False,False
fia-formula-2-championship_2017_silverstone_qualifying,52a5ffe9-1be9-48ee-b695-31511f04bdbd,2017,6,4,,Qualifying,2017-07-14T14:15:00Z,2017-07-14T14:45:00Z,False,False
fia-formula-2-championship_2017_silverstone_grid,52a5ffe9-1be9-48ee-b695-31511f04bdbd,2017,6,5,,Grid,2017-07-14T23:00:00Z,,False,False
fia-formula-2-championship_2017_silverstone_feature-race,52a5ffe9-1be9-48ee-b695-31511f04bdbd,2017,6,6,,Feature Race,2017-07-15T14:00:00Z,2017-07-15T15:05:00Z,True,False
fia-formula-2-championship_2017_silverstone_grid-2,52a5ffe9-1be9-48ee-b695-31511f04bdbd,2017,6,7,,Grid,2017-07-15T23:00:00Z,,False,False
fia-formula-2-championship_2017_silverstone_sprint-race,52a5ffe9-1be9-48ee-b695-31511f04bdbd,2017,6,8,,Sprint Race,2017-07-16T08:20:00Z,2017-07-16T09:10:00Z,True,False
fia-formula-2-championship_2017_hungaroring_free-practice,5ff2e895-7a01-4490-a77e-aa4ba2383325,2017,7,1,,Free Practice,2017-07-28T09:55:00Z,2017-07-28T10:40:00Z,False,False
fia-formula-2-championship_2017_hungaroring_qualifying,5ff2e895-7a01-4490-a77e-aa4ba2383325,2017,7,4,,Qualifying,2017-07-28T13:55:00Z,2017-07-28T14:25:00Z,False,False
fia-formula-2-championship_2017_hungaroring_grid,5ff2e895-7a01-4490-a77e-aa4ba2383325,2017,7,5,,Grid,2017-07-28T22:00:00Z,,False,False
fia-formula-2-championship_2017_hungaroring_feature-race,5ff2e895-7a01-4490-a77e-aa4ba2383325,2017,7,6,,Feature Race,2017-07-29T14:00:00Z,2017-07-29T15:05:00Z,True,False
fia-formula-2-championship_2017_hungaroring_grid-2,5ff2e895-7a01-4490-a77e-aa4ba2383325,2017,7,7,,Grid,2017-07-29T22:00:00Z,,False,False
fia-formula-2-championship_2017_hungaroring_sprint-race,5ff2e895-7a01-4490-a77e-aa4ba2383325,2017,7,8,,Sprint Race,2017-07-30T08:20:00Z,2017-07-30T09:10:00Z,True,False
fia-formula-2-championship_2017_spa-francorchamps_free-practice,6eee62e5-1022-499b-8a62-e70b68e2706d,2017,8,1,,Free Practice,2017-08-25T09:55:00Z,2017-08-25T10:40:00Z,False,False
fia-formula-2-championship_2017_spa-francorchamps_qualifying,6eee62e5-1022-499b-8a62-e70b68e2706d,2017,8,4,,Qualifying,2017-08-25T14:20:00Z,2017-08-25T14:50:00Z,False,False
fia-formula-2-championship_2017_spa-francorchamps_grid,6eee62e5-1022-499b-8a62-e70b68e2706d,2017,8,5,,Grid,2017-08-25T22:00:00Z,,False,False
fia-formula-2-championship_2017_spa-francorchamps_feature-race,6eee62e5-1022-499b-8a62-e70b68e2706d,2017,8,6,,Feature Race,2017-08-26T14:00:00Z,2017-08-26T15:05:00Z,True,False
fia-formula-2-championship_2017_spa-francorchamps_grid-2,6eee62e5-1022-499b-8a62-e70b68e2706d,2017,8,7,,Grid,2017-08-26T22:00:00Z,,False,False
fia-formula-2-championship_2017_spa-francorchamps_sprint-race,6eee62e5-1022-499b-8a62-e70b68e2706d,2017,8,8,,Sprint Race,2017-08-27T08:15:00Z,2017-08-27T09:05:00Z,True,False
fia-formula-2-championship_2017_monza_free-practice,595ac392-7419-4272-a91f-5ff0f54e2b67,2017,9,1,,Free Practice,2017-09-01T09:55:00Z,2017-09-01T10:40:00Z,False,False
fia-formula-2-championship_2017_monza_qualifying,595ac392-7419-4272-a91f-5ff0f54e2b67,2017,9,4,,Qualifying,2017-09-01T14:20:00Z,2017-09-01T14:50:00Z,False,False
fia-formula-2-championship_2017_monza_grid,595ac392-7419-4272-a91f-5ff0f54e2b67,2017,9,5,,Grid,2017-09-01T22:00:00Z,,False,False
fia-formula-2-championship_2017_monza_feature-race,595ac392-7419-4272-a91f-5ff0f54e2b67,2017,9,6,,Feature Race,2017-09-02T14:00:00Z,2017-09-02T15:05:00Z,True,False
fia-formula-2-championship_2017_monza_grid-2,595ac392-7419-4272-a91f-5ff0f54e2b67,2017,9,7,,Grid,2017-09-02T22:00:00Z,,False,False
fia-formula-2-championship_2017_monza_sprint-race,595ac392-7419-4272-a91f-5ff0f54e2b67,2017,9,8,,Sprint Race,2017-09-03T08:15:00Z,2017-09-03T09:05:00Z,True,False
fia-formula-2-championship_2017_jerez_free-practice,c52c9a8b-b778-4c82-8e7b-fd7861e50b00,2017,10,1,,Free Practice,2017-10-06T09:00:00Z,2017-10-06T09:45:00Z,False,False
fia-formula-2-championship_2017_jerez_qualifying,c52c9a8b-b778-4c82-8e7b-fd7861e50b00,2017,10,4,,Qualifying,2017-10-06T13:30:00Z,2017-10-06T14:00:00Z,False,False
fia-formula-2-championship_2017_jerez_grid,c52c9a8b-b778-4c82-8e7b-fd7861e50b00,2017,10,5,,Grid,2017-10-06T22:00:00Z,,False,False
fia-formula-2-championship_2017_jerez_feature-race,c52c9a8b-b778-4c82-8e7b-fd7861e50b00,2017,10,6,,Feature Race,2017-10-07T12:00:00Z,2017-10-07T13:05:00Z,True,False
fia-formula-2-championship_2017_jerez_grid-2,c52c9a8b-b778-4c82-8e7b-fd7861e50b00,2017,10,7,,Grid,2017-10-07T22:00:00Z,,False,False
fia-formula-2-championship_2017_jerez_sprint-race,c52c9a8b-b778-4c82-8e7b-fd7861e50b00,2017,10,8,,Sprint Race,2017-10-08T12:00:00Z,2017-10-08T12:50:00Z,True,False
fia-formula-2-championship_2017_yas-marina_free-practice,d11f46c3-477a-42ec-baf6-dd3e76a157ea,2017,11,1,,Free Practice,2017-11-24T07:30:00Z,2017-11-24T08:15:00Z,False,False
