year,positionNumber,constructorId,points,championshipWon
2019,1,prema-racing,527,False
2019,2,hitech-racing,223,False
2019,3,art-grand-prix,174,False
2019,4,trident-motorsport,134,False
2019,5,hwa,100,False
2019,6,mp-motorsport,77,False
2019,7,jenzer-motorsport,67,False
2019,8,sauber-junior-team-by-charouz,15,False
2019,9,carlin,14,False
2019,10,campos-racing,5,False
2020,1,prema-racing,470.5,False
2020,2,trident-motorsport,261.5,False
2020,3,art-grand-prix,251,False
2020,4,hitech-racing,167,False
2020,5,hwa,138.5,False
2020,6,mp-motorsport,109,False
2020,7,campos-racing,64,False
2020,8,carlin,46,False
2020,9,jenzer-motorsport,11,False
2020,10,charouz-racing-system,5,False
2021,1,trident-motorsport,381,False
2021,2,prema-racing,377,False
2021,3,art-grand-prix,256,False
2021,4,mp-motorsport,224,False
2021,5,charouz-racing-system,127,False
2021,6,hitech-racing,126,False
2021,7,hwa,44,False
2021,8,campos-racing,32,False
2021,9,jenzer-motorsport,29,False
2021,10,carlin,25,False
2022,1,prema-racing,355,False
2022,2,trident-motorsport,301,False
2022,3,art-grand-prix,208,False
2022,4,mp-motorsport,195,False
2022,5,hitech-racing,150,False
2022,6,van-amersfoort-racing,91,False
2022,7,carlin,57,False
2022,8,campos-racing,53,False
2022,9,jenzer-motorsport,26,False
2022,10,charouz-racing-system,1,False
2023,1,prema-racing,327,False
2023,2,trident-motorsport,308,False
2023,3,mp-motorsport,194,False
2023,4,campos-racing,179,False
2023,5,hitech-racing,170,False
2023,6,jenzer-motorsport,108,False
2023,7,van-amersfoort-racing,75,False
2023,8,art-grand-prix,71,False
2023,9,charouz-racing-system,6,False
2023,10,carlin,2,False
2024,1,prema-racing,352,False
2024,2,trident-motorsport,281,False
2024,3,art-grand-prix,245,False
2024,4,campos-racing,179,False
2024,5,hitech-racing,166,False
2024,6,mp-motorsport,137,False
2024,7,van-amersfoort-racing,91,False
2024,8,rodin-motorsport,85,False
2024,9,phm-racing,35,False
2024,10,jenzer-motorsport,29,False
2025,1,campos-racing,314,True
2025,2,trident-motorsport,303,False
2025,3,mp-motorsport,177,False
2025,4,art-grand-prix,152,False
2025,5,van-amersfoort-racing,138,False
2025,6,rodin-motorsport,128,False
2025,7,prema-racing,92,False
2025,8,hitech-racing,90,False
2025,9,phm-racing,52,False
2025,10,dams,30,False
2026,1,van-amersfoort-racing,30,False
2026,2,campos-racing,27,False
2026,3,art-grand-prix,26,False
2026,4,trident-motorsport,20,False
2026,5,rodin-motorsport,7,False
2026,6,phm-racing,6,False
2026,7,hitech-racing,2,False
2026,8,prema-racing,1,False
2026,9,mp-motorsport,1,False
2026,10,dams,0,False
