raceId,year,round,driverNumber,driverId,constructorId,chassisId,engineId
fa-5,2023,5,15,marta-garcia,prema-racing,tatuus-f4-t421,autotecnica-motori-14t
fa-5,2023,5,4,hamda-al-qubaisi,mp-motorsport,tatuus-f4-t421,autotecnica-motori-14t
fa-5,2023,5,16,bianca-bustamante,prema-racing,tatuus-f4-t421,autotecnica-motori-14t
fa-5,2023,5,8,carrie-schreiner,art-grand-prix,tatuus-f4-t421,autotecnica-motori-14t
fa-5,2023,5,1,nerea-marti,campos-racing,tatuus-f4-t421,autotecnica-motori-14t
fa-5,2023,5,11,jessica-edgar,rodin-carlin,tatuus-f4-t421,autotecnica-motori-14t
fa-5,2023,5,12,megan-gilkes,rodin-carlin,tatuus-f4-t421,autotecnica-motori-14t
fa-5,2023,5,6,amna-al-qubaisi,mp-motorsport,tatuus-f4-t421,autotecnica-motori-14t
fa-5,2023,5,14,chloe-chong,prema-racing,tatuus-f4-t421,autotecnica-motori-14t
fa-5,2023,5,9,chloe-grant,art-grand-prix,tatuus-f4-t421,autotecnica-motori-14t
fa-5,2023,5,5,emely-de-heus,mp-motorsport,tatuus-f4-t421,autotecnica-motori-14t
fa-5,2023,5,2,lola-lovinfosse,campos-racing,tatuus-f4-t421,autotecnica-motori-14t
fa-5,2023,5,3,maite-caceres,campos-racing,tatuus-f4-t421,autotecnica-motori-14t
fa-6,2023,6,1,nerea-marti,campos-racing,tatuus-f4-t421,autotecnica-motori-14t
fa-6,2023,6,10,abbi-pulling,rodin-carlin,tatuus-f4-t421,autotecnica-motori-14t
fa-6,2023,6,4,hamda-al-qubaisi,mp-motorsport,tatuus-f4-t421,autotecnica-motori-14t
fa-6,2023,6,6,amna-al-qubaisi,mp-motorsport,tatuus-f4-t421,autotecnica-motori-14t
fa-6,2023,6,15,marta-garcia,prema-racing,tatuus-f4-t421,autotecnica-motori-14t
fa-6,2023,6,11,jessica-edgar,rodin-carlin,tatuus-f4-t421,autotecnica-motori-14t
fa-6,2023,6,2,lola-lovinfosse,campos-racing,tatuus-f4-t421,autotecnica-motori-14t
fa-6,2023,6,7,lena-buhler,art-grand-prix,tatuus-f4-t421,autotecnica-motori-14t
fa-6,2023,6,8,carrie-schreiner,art-grand-prix,tatuus-f4-t421,autotecnica-motori-14t
fa-6,2023,6,3,maite-caceres,campos-racing,tatuus-f4-t421,autotecnica-motori-14t
fa-6,2023,6,5,emely-de-heus,mp-motorsport,tatuus-f4-t421,autotecnica-motori-14t
fa-6,2023,6,12,megan-gilkes,rodin-carlin,tatuus-f4-t421,autotecnica-motori-14t
fa-6,2023,6,14,chloe-chong,prema-racing,tatuus-f4-t421,autotecnica-motori-14t
fa-6,2023,6,9,chloe-grant,art-grand-prix,tatuus-f4-t421,autotecnica-motori-14t
fa-6,2023,6,16,bianca-bustamante,prema-racing,tatuus-f4-t421,autotecnica-motori-14t
fa-7,2023,7,15,marta-garcia,prema-racing,tatuus-f4-t421,autotecnica-motori-14t
fa-7,2023,7,1,nerea-marti,campos-racing,tatuus-f4-t421,autotecnica-motori-14t
fa-7,2023,7,10,abbi-pulling,rodin-carlin,tatuus-f4-t421,autotecnica-motori-14t
fa-7,2023,7,11,jessica-edgar,rodin-carlin,tatuus-f4-t421,autotecnica-motori-14t
fa-7,2023,7,4,hamda-al-qubaisi,mp-motorsport,tatuus-f4-t421,autotecnica-motori-14t
fa-7,2023,7,16,bianca-bustamante,prema-racing,tatuus-f4-t421,autotecnica-motori-14t
fa-7,2023,7,7,lena-buhler,art-grand-prix,tatuus-f4-t421,autotecnica-motori-14t
fa-7,2023,7,2,lola-lovinfosse,campos-racing,tatuus-f4-t421,autotecnica-motori-14t
fa-7,2023,7,14,chloe-chong,prema-racing,tatuus-f4-t421,autotecnica-motori-14t
fa-7,2023,7,9,chloe-grant,art-grand-prix,tatuus-f4-t421,autotecnica-motori-14t
fa-7,2023,7,5,emely-de-heus,mp-motorsport,tatuus-f4-t421,autotecnica-motori-14t
fa-7,2023,7,6,amna-al-qubaisi,mp-motorsport,tatuus-f4-t421,autotecnica-motori-14t
fa-7,2023,7,12,megan-gilkes,rodin-carlin,tatuus-f4-t421,autotecnica-motori-14t
fa-7,2023,7,8,carrie-schreiner,art-grand-prix,tatuus-f4-t421,autotecnica-motori-14t
fa-7,2023,7,3,maite-caceres,campos-racing,tatuus-f4-t421,autotecnica-motori-14t
fa-8,2024,1,28,doriane-pin,prema-racing,tatuus-f4-t421,autotecnica-motori-14t
fa-8,2024,1,9,abbi-pulling,rodin-motorsport,tatuus-f4-t421,autotecnica-motori-14t
fa-8,2024,1,57,lia-block,art-grand-prix,tatuus-f4-t421,autotecnica-motori-14t
fa-8,2024,1,30,nerea-marti,campos-racing,tatuus-f4-t421,autotecnica-motori-14t
fa-8,2024,1,64,maya-weug,prema-racing,tatuus-f4-t421,autotecnica-motori-14t
fa-8,2024,1,3,lola-lovinfosse,rodin-motorsport,tatuus-f4-t421,autotecnica-motori-14t
fa-8,2024,1,14,chloe-chambers,campos-racing,tatuus-f4-t421,autotecnica-motori-14t
fa-8,2024,1,15,carrie-schreiner,campos-racing,tatuus-f4-t421,autotecnica-motori-14t
fa-8,2024,1,19,tina-hausmann,prema-racing,tatuus-f4-t421,autotecnica-motori-14t
fa-8,2024,1,17,jessica-edgar,rodin-motorsport,tatuus-f4-t421,autotecnica-motori-14t
fa-8,2024,1,88,amna-al-qubaisi,mp-motorsport,tatuus-f4-t421,autotecnica-motori-14t
fa-8,2024,1,22,aurelia-nobels,art-grand-prix,tatuus-f4-t421,autotecnica-motori-14t
fa-8,2024,1,16,bianca-bustamante,art-grand-prix,tatuus-f4-t421,autotecnica-motori-14t
fa-8,2024,1,7,emely-de-heus,mp-motorsport,tatuus-f4-t421,autotecnica-motori-14t
fa-8,2024,1,8,hamda-al-qubaisi,mp-motorsport,tatuus-f4-t421,autotecnica-motori-14t
fa-8,2024,1,18,reema-juffali,prema-racing,tatuus-f4-t421,autotecnica-motori-14t
fa-9,2024,2,28,doriane-pin,prema-racing,tatuus-f4-t421,autotecnica-motori-14t
fa-9,2024,2,9,abbi-pulling,rodin-motorsport,tatuus-f4-t421,autotecnica-motori-14t
fa-9,2024,2,16,bianca-bustamante,art-grand-prix,tatuus-f4-t421,autotecnica-motori-14t
fa-9,2024,2,30,nerea-marti,campos-racing,tatuus-f4-t421,autotecnica-motori-14t
fa-9,2024,2,64,maya-weug,prema-racing,tatuus-f4-t421,autotecnica-motori-14t
fa-9,2024,2,14,chloe-chambers,campos-racing,tatuus-f4-t421,autotecnica-motori-14t
fa-9,2024,2,7,emely-de-heus,mp-motorsport,tatuus-f4-t421,autotecnica-motori-14t
fa-9,2024,2,17,jessica-edgar,rodin-motorsport,tatuus-f4-t421,autotecnica-motori-14t
fa-9,2024,2,22,aurelia-nobels,art-grand-prix,tatuus-f4-t421,autotecnica-motori-14t
fa-9,2024,2,57,lia-block,art-grand-prix,tatuus-f4-t421,autotecnica-motori-14t
fa-9,2024,2,15,carrie-schreiner,campos-racing,tatuus-f4-t421,autotecnica-motori-14t
fa-9,2024,2,88,amna-al-qubaisi,mp-motorsport,tatuus-f4-t421,autotecnica-motori-14t
fa-9,2024,2,3,lola-lovinfosse,rodin-motorsport,tatuus-f4-t421,autotecnica-motori-14t
fa-9,2024,2,19,tina-hausmann,prema-racing,tatuus-f4-t421,autotecnica-motori-14t
fa-9,2024,2,8,hamda-al-qubaisi,mp-motorsport,tatuus-f4-t421,autotecnica-motori-14t
fa-9,2024,2,77,courtney-crone,prema-racing,tatuus-f4-t421,autotecnica-motori-14t
fa-10,2024,3,9,abbi-pulling,rodin-motorsport,tatuus-f4-t421,autotecnica-motori-14t
fa-10,2024,3,16,bianca-bustamante,art-grand-prix,tatuus-f4-t421,autotecnica-motori-14t
fa-10,2024,3,8,hamda-al-qubaisi,mp-motorsport,tatuus-f4-t421,autotecnica-motori-14t
fa-10,2024,3,30,nerea-marti,campos-racing,tatuus-f4-t421,autotecnica-motori-14t
fa-10,2024,3,57,lia-block,art-grand-prix,tatuus-f4-t421,autotecnica-motori-14t
fa-10,2024,3,17,jessica-edgar,rodin-motorsport,tatuus-f4-t421,autotecnica-motori-14t
fa-10,2024,3,15,carrie-schreiner,campos-racing,tatuus-f4-t421,autotecnica-motori-14t
fa-10,2024,3,88,amna-al-qubaisi,mp-motorsport,tatuus-f4-t421,autotecnica-motori-14t
fa-10,2024,3,22,aurelia-nobels,art-grand-prix,tatuus-f4-t421,autotecnica-motori-14t
fa-10,2024,3,28,doriane-pin,prema-racing,tatuus-f4-t421,autotecnica-motori-14t
fa-10,2024,3,14,chloe-chambers,campos-racing,tatuus-f4-t421,autotecnica-motori-14t
fa-10,2024,3,19,tina-hausmann,prema-racing,tatuus-f4-t421,autotecnica-motori-14t
fa-10,2024,3,64,maya-weug,prema-racing,tatuus-f4-t421,autotecnica-motori-14t
fa-10,2024,3,7,emely-de-heus,mp-motorsport,tatuus-f4-t421,autotecnica-motori-14t
fa-10,2024,3,3,lola-lovinfosse,rodin-motorsport,tatuus-f4-t421,autotecnica-motori-14t
fa-11,2024,4,9,abbi-pulling,rodin-motorsport,tatuus-f4-t421,autotecnica-motori-14t
fa-11,2024,4,28,doriane-pin,prema-racing,tatuus-f4-t421,autotecnica-motori-14t
fa-11,2024,4,16,bianca-bustamante,art-grand-prix,tatuus-f4-t421,autotecnica-motori-14t
fa-11,2024,4,8,hamda-al-qubaisi,mp-motorsport,tatuus-f4-t421,autotecnica-motori-14t
fa-11,2024,4,64,maya-weug,prema-racing,tatuus-f4-t421,autotecnica-motori-14t
fa-11,2024,4,30,nerea-marti,campos-racing,tatuus-f4-t421,autotecnica-motori-14t
fa-11,2024,4,4,nina-gademan,prema-racing,tatuus-f4-t421,autotecnica-motori-14t
fa-11,2024,4,7,emely-de-heus,mp-motorsport,tatuus-f4-t421,autotecnica-motori-14t
fa-11,2024,4,17,jessica-edgar,rodin-motorsport,tatuus-f4-t421,autotecnica-motori-14t
fa-11,2024,4,15,carrie-schreiner,campos-racing,tatuus-f4-t421,autotecnica-motori-14t
fa-11,2024,4,14,chloe-chambers,campos-racing,tatuus-f4-t421,autotecnica-motori-14t
fa-11,2024,4,57,lia-block,art-grand-prix,tatuus-f4-t421,autotecnica-motori-14t
fa-11,2024,4,88,amna-al-qubaisi,mp-motorsport,tatuus-f4-t421,autotecnica-motori-14t
fa-11,2024,4,19,tina-hausmann,prema-racing,tatuus-f4-t421,autotecnica-motori-14t
fa-11,2024,4,22,aurelia-nobels,art-grand-prix,tatuus-f4-t421,autotecnica-motori-14t
fa-11,2024,4,3,lola-lovinfosse,rodin-motorsport,tatuus-f4-t421,autotecnica-motori-14t
fa-12,2024,5,9,abbi-pulling,rodin-motorsport,tatuus-f4-t421,autotecnica-motori-14t
fa-12,2024,5,30,nerea-marti,campos-racing,tatuus-f4-t421,autotecnica-motori-14t
fa-12,2024,5,28,doriane-pin,prema-racing,tatuus-f4-t421,autotecnica-motori-14t
fa-12,2024,5,64,maya-weug,prema-racing,tatuus-f4-t421,autotecnica-motori-14t
fa-12,2024,5,15,carrie-schreiner,campos-racing,tatuus-f4-t421,autotecnica-motori-14t
fa-12,2024,5,57,lia-block,art-grand-prix,tatuus-f4-t421,autotecnica-motori-14t
fa-12,2024,5,14,chloe-chambers,campos-racing,tatuus-f4-t421,autotecnica-motori-14t
fa-12,2024,5,8,hamda-al-qubaisi,mp-motorsport,tatuus-f4-t421,autotecnica-motori-14t
fa-12,2024,5,3,lola-lovinfosse,rodin-motorsport,tatuus-f4-t421,autotecnica-motori-14t
fa-12,2024,5,22,aurelia-nobels,art-grand-prix,tatuus-f4-t421,autotecnica-motori-14t
fa-12,2024,5,5,ella-lloyd,prema-racing,tatuus-f4-t421,autotecnica-motori-14t
fa-12,2024,5,16,bianca-bustamante,art-grand-prix,tatuus-f4-t421,autotecnica-motori-14t
fa-12,2024,5,19,tina-hausmann,prema-racing,tatuus-f4-t421,autotecnica-motori-14t
fa-12,2024,5,7,emely-de-heus,mp-motorsport,tatuus-f4-t421,autotecnica-motori-14t
fa-12,2024,5,88,amna-al-qubaisi,mp-motorsport,tatuus-f4-t421,autotecnica-motori-14t
fa-12,2024,5,17,jessica-edgar,rodin-motorsport,tatuus-f4-t421,autotecnica-motori-14t
fa-13,2024,6,28,doriane-pin,prema-racing,tatuus-f4-t421,autotecnica-motori-14t
fa-13,2024,6,9,abbi-pulling,rodin-motorsport,tatuus-f4-t421,autotecnica-motori-14t
fa-13,2024,6,64,maya-weug,prema-racing,tatuus-f4-t421,autotecnica-motori-14t
fa-13,2024,6,17,jessica-edgar,rodin-motorsport,tatuus-f4-t421,autotecnica-motori-14t
fa-13,2024,6,16,bianca-bustamante,art-grand-prix,tatuus-f4-t421,autotecnica-motori-14t
fa-13,2024,6,8,hamda-al-qubaisi,mp-motorsport,tatuus-f4-t421,autotecnica-motori-14t
fa-13,2024,6,6,alisha-palmowski,prema-racing,tatuus-f4-t421,autotecnica-motori-14t
fa-13,2024,6,15,carrie-schreiner,campos-racing,tatuus-f4-t421,autotecnica-motori-14t
fa-13,2024,6,57,lia-block,art-grand-prix,tatuus-f4-t421,autotecnica-motori-14t
fa-13,2024,6,14,chloe-chambers,campos-racing,tatuus-f4-t421,autotecnica-motori-14t
fa-13,2024,6,30,nerea-marti,campos-racing,tatuus-f4-t421,autotecnica-motori-14t
fa-13,2024,6,22,aurelia-nobels,art-grand-prix,tatuus-f4-t421,autotecnica-motori-14t
fa-13,2024,6,19,tina-hausmann,prema-racing,tatuus-f4-t421,autotecnica-motori-14t
fa-13,2024,6,7,emely-de-heus,mp-motorsport,tatuus-f4-t421,autotecnica-motori-14t
fa-13,2024,6,3,lola-lovinfosse,rodin-motorsport,tatuus-f4-t421,autotecnica-motori-14t
fa-13,2024,6,88,amna-al-qubaisi,mp-motorsport,tatuus-f4-t421,autotecnica-motori-14t
fa-14,2024,7,14,chloe-chambers,campos-racing,tatuus-f4-t421,autotecnica-motori-14t
fa-14,2024,7,9,abbi-pulling,rodin-motorsport,tatuus-f4-t421,autotecnica-motori-14t
fa-14,2024,7,28,doriane-pin,prema-racing,tatuus-f4-t421,autotecnica-motori-14t
fa-14,2024,7,8,hamda-al-qubaisi,mp-motorsport,tatuus-f4-t421,autotecnica-motori-14t
fa-14,2024,7,16,bianca-bustamante,art-grand-prix,tatuus-f4-t421,autotecnica-motori-14t
fa-14,2024,7,30,nerea-marti,campos-racing,tatuus-f4-t421,autotecnica-motori-14t
fa-14,2024,7,17,jessica-edgar,rodin-motorsport,tatuus-f4-t421,autotecnica-motori-14t
fa-14,2024,7,88,amna-al-qubaisi,mp-motorsport,tatuus-f4-t421,autotecnica-motori-14t
fa-14,2024,7,19,tina-hausmann,prema-racing,tatuus-f4-t421,autotecnica-motori-14t
fa-14,2024,7,22,aurelia-nobels,art-grand-prix,tatuus-f4-t421,autotecnica-motori-14t
fa-14,2024,7,7,emely-de-heus,mp-motorsport,tatuus-f4-t421,autotecnica-motori-14t
fa-14,2024,7,15,carrie-schreiner,campos-racing,tatuus-f4-t421,autotecnica-motori-14t
fa-14,2024,7,57,lia-block,art-grand-prix,tatuus-f4-t421,autotecnica-motori-14t
fa-14,2024,7,64,maya-weug,prema-racing,tatuus-f4-t421,autotecnica-motori-14t
fa-14,2024,7,3,lola-lovinfosse,rodin-motorsport,tatuus-f4-t421,autotecnica-motori-14t
fa-14,2024,7,54,logan-hannah,prema-racing,tatuus-f4-t421,autotecnica-motori-14t
fa-15,2025,1,28,doriane-pin,prema-racing,tatuus-f4-t421,autotecnica-motori-14t
fa-15,2025,1,78,tina-hausmann,prema-racing,tatuus-f4-t421,autotecnica-motori-14t
fa-15,2025,1,14,chloe-chambers,campos-racing,tatuus-f4-t421,autotecnica-motori-14t
fa-15,2025,1,64,maya-weug,mp-motorsport,tatuus-f4-t421,autotecnica-motori-14t
fa-15,2025,1,3,nina-gademan,prema-racing,tatuus-f4-t421,autotecnica-motori-14t
fa-15,2025,1,20,ella-lloyd,rodin-motorsport,tatuus-f4-t421,autotecnica-motori-14t
fa-15,2025,1,25,joanne-ciconte,mp-motorsport,tatuus-f4-t421,autotecnica-motori-14t
fa-15,2025,1,5,emma-felbermayr,rodin-motorsport,tatuus-f4-t421,autotecnica-motori-14t
fa-15,2025,1,21,alisha-palmowski,campos-racing,tatuus-f4-t421,autotecnica-motori-14t
fa-15,2025,1,27,chloe-chong,rodin-motorsport,tatuus-f4-t421,autotecnica-motori-14t
fa-15,2025,1,12,alba-larsen,mp-motorsport,tatuus-f4-t421,autotecnica-motori-14t
fa-15,2025,1,22,aurelia-nobels,art-grand-prix,tatuus-f4-t421,autotecnica-motori-14t
fa-15,2025,1,11,aiva-anagnostiadis,hitech-tgr,tatuus-f4-t421,autotecnica-motori-14t
fa-15,2025,1,2,nicole-havrda,hitech-tgr,tatuus-f4-t421,autotecnica-motori-14t
fa-15,2025,1,7,courtney-crone,art-grand-prix,tatuus-f4-t421,autotecnica-motori-14t
fa-15,2025,1,24,wei-shi-wcd,hitech-tgr,tatuus-f4-t421,autotecnica-motori-14t
fa-15,2025,1,57,lia-block,art-grand-prix,tatuus-f4-t421,autotecnica-motori-14t
fa-15,2025,1,18,rafaela-ferreira,campos-racing,tatuus-f4-t421,autotecnica-motori-14t
fa-16,2025,2,64,maya-weug,mp-motorsport,tatuus-f4-t421,autotecnica-motori-14t
fa-16,2025,2,21,alisha-palmowski,campos-racing,tatuus-f4-t421,autotecnica-motori-14t
fa-16,2025,2,28,doriane-pin,prema-racing,tatuus-f4-t421,autotecnica-motori-14t
fa-16,2025,2,14,chloe-chambers,campos-racing,tatuus-f4-t421,autotecnica-motori-14t
fa-16,2025,2,57,lia-block,art-grand-prix,tatuus-f4-t421,autotecnica-motori-14t
fa-16,2025,2,20,ella-lloyd,rodin-motorsport,tatuus-f4-t421,autotecnica-motori-14t
fa-16,2025,2,22,aurelia-nobels,art-grand-prix,tatuus-f4-t421,autotecnica-motori-14t
fa-16,2025,2,78,tina-hausmann,prema-racing,tatuus-f4-t421,autotecnica-motori-14t
fa-16,2025,2,27,chloe-chong,rodin-motorsport,tatuus-f4-t421,autotecnica-motori-14t
fa-16,2025,2,5,emma-felbermayr,rodin-motorsport,tatuus-f4-t421,autotecnica-motori-14t
fa-16,2025,2,3,nina-gademan,prema-racing,tatuus-f4-t421,autotecnica-motori-14t
fa-16,2025,2,7,courtney-crone,art-grand-prix,tatuus-f4-t421,autotecnica-motori-14t
fa-16,2025,2,18,rafaela-ferreira,campos-racing,tatuus-f4-t421,autotecnica-motori-14t
