id,year,round,date,endDate,name,code,circuitId,sourceUrl
25792d4f-6576-45d8-be25-3cf181c12586,2017,1,2017-04-14,2017-04-16,Bahrain,BAH,bahrain-international-circuit_bahrain-international-circuit,https://www.motorsportstats.com/results/fia-formula-2-championship/2017/bahrain/info
5d86d520-0d33-42f8-8cd5-81cf37482ee8,2017,2,2017-05-12,2017-05-14,Catalunya,CAT,circuit-de-barcelona-catalunya_circuit-de-barcelona-catalunya,https://www.motorsportstats.com/results/fia-formula-2-championship/2017/catalunya/info
667442c8-3b27-40ab-8b98-f24ac60236a2,2017,3,2017-05-25,2017-05-27,Monaco,MCO,circuit-de-monaco_circuit-de-monaco,https://www.motorsportstats.com/results/fia-formula-2-championship/2017/monaco/info
811656dd-1804-4e03-b214-d3c2d19cda3d,2017,4,2017-06-23,2017-06-25,Baku,BAK,baku-city-circuit_baku-city-circuit,https://www.motorsportstats.com/results/fia-formula-2-championship/2017/baku/info
17a5fb15-57a3-4e5f-81c2-2a8b2d80c9a6,2017,5,2017-07-07,2017-07-09,Red Bull Ring,SPI,red-bull-ring_red-bull-ring,https://www.motorsportstats.com/results/fia-formula-2-championship/2017/red-bull-ring/info
52a5ffe9-1be9-48ee-b695-31511f04bdbd,2017,6,2017-07-13,2017-07-16,Silverstone,SIL,silverstone-circuit_silverstone-circuit,https://www.motorsportstats.com/results/fia-formula-2-championship/2017/silverstone/info
5ff2e895-7a01-4490-a77e-aa4ba2383325,2017,7,2017-07-28,2017-07-30,Hungaroring,HUN,hungaroring_hungaroring,https://www.motorsportstats.com/results/fia-formula-2-championship/2017/hungaroring/info
6eee62e5-1022-499b-8a62-e70b68e2706d,2017,8,2017-08-25,2017-08-27,Spa-Francorchamps,SPA,circuit-de-spa-francorchamps_circuit-de-spa-francorchamps,https://www.motorsportstats.com/results/fia-formula-2-championship/2017/spa-francorchamps/info
595ac392-7419-4272-a91f-5ff0f54e2b67,2017,9,2017-09-01,2017-09-03,Monza,MON,autodromo-nazionale-monza_autodromo-nazionale-monza,https://www.motorsportstats.com/results/fia-formula-2-championship/2017/monza/info
c52c9a8b-b778-4c82-8e7b-fd7861e50b00,2017,10,2017-10-06,2017-10-08,Jerez,JER,circuito-de-jerez_circuito-de-jerez,https://www.motorsportstats.com/results/fia-formula-2-championship/2017/jerez/info
d11f46c3-477a-42ec-baf6-dd3e76a157ea,2017,11,2017-11-24,2017-11-26,Yas Marina,YAS,yas-marina-circuit_yas-marina-circuit,https://www.motorsportstats.com/results/fia-formula-2-championship/2017/yas-marina/info
80fb59c0-77df-4304-8cf8-7d091e7a753c,2018,1,2018-04-06,2018-04-08,Bahrain,BAH,bahrain-international-circuit_bahrain-international-circuit,https://www.motorsportstats.com/results/fia-formula-2-championship/2018/bahrain/info
904fc720-e817-4cd7-97b4-c781c0f0a643,2018,2,2018-04-27,2018-04-29,Baku,BAK,baku-city-circuit_baku-city-circuit,https://www.motorsportstats.com/results/fia-formula-2-championship/2018/baku/info
ceb1a47b-8cc1-4209-a92d-81ae0f18a245,2018,3,2018-05-11,2018-05-13,Catalunya,CAT,circuit-de-barcelona-catalunya_circuit-de-barcelona-catalunya,https://www.motorsportstats.com/results/fia-formula-2-championship/2018/catalunya/info
208b82c0-e722-4f9f-a03c-3b1ea71840b3,2018,4,2018-05-24,2018-05-26,Monaco,MCO,circuit-de-monaco_circuit-de-monaco,https://www.motorsportstats.com/results/fia-formula-2-championship/2018/monaco/info
d0c096c7-a35f-4312-8453-66b12714cc97,2018,5,2018-06-22,2018-06-24,Paul Ricard,RIC,circuit-paul-ricard_paul-ricard-circuit,https://www.motorsportstats.com/results/fia-formula-2-championship/2018/paul-ricard/info
fa27ce18-d7e7-409b-a58e-b97905294818,2018,6,2018-06-29,2018-07-01,Red Bull Ring,SPI,red-bull-ring_red-bull-ring,https://www.motorsportstats.com/results/fia-formula-2-championship/2018/red-bull-ring/info
d6c4c60d-5b64-415f-a400-cb8a307c3b5d,2018,7,2018-07-06,2018-07-08,Silverstone,SIL,silverstone-circuit_silverstone-circuit,https://www.motorsportstats.com/results/fia-formula-2-championship/2018/silverstone/info
c460caf9-8786-4dc6-92a9-cac2e9f2a8cf,2018,8,2018-07-27,2018-07-29,Hungaroring,HUN,hungaroring_hungaroring,https://www.motorsportstats.com/results/fia-formula-2-championship/2018/hungaroring/info
ff1aab76-318d-4798-a43e-deb6126e9bc7,2018,9,2018-08-24,2018-08-26,Spa-Francorchamps,SPA,circuit-de-spa-francorchamps_circuit-de-spa-francorchamps,https://www.motorsportstats.com/results/fia-formula-2-championship/2018/spa-francorchamps/info
5d86f633-224f-4e5b-9194-d538f92b6c16,2018,10,2018-08-31,2018-09-02,Monza,MON,autodromo-nazionale-monza_autodromo-nazionale-monza,https://www.motorsportstats.com/results/fia-formula-2-championship/2018/monza/info
32c96b60-875f-4274-9de5-9802ec3db133,2018,11,2018-09-28,2018-09-30,Sochi,SOC,sochi-autodrom_sochi-autodrom,https://www.motorsportstats.com/results/fia-formula-2-championship/2018/sochi/info
f0406dc1-b002-47ed-950d-b30822b529cb,2018,12,2018-11-23,2018-11-25,Yas Marina,YAS,yas-marina-circuit_yas-marina-circuit,https://www.motorsportstats.com/results/fia-formula-2-championship/2018/yas-marina/info
b39166c6-16e9-4c1f-896d-226bc40367fc,2019,1,2019-03-29,2019-03-31,Bahrain,BAH,bahrain-international-circuit_bahrain-international-circuit,https://www.motorsportstats.com/results/fia-formula-2-championship/2019/bahrain/info
faad1f37-0768-4a57-845b-0ef7d5b506a6,2019,2,2019-04-26,2019-04-28,Baku,BAK,baku-city-circuit_baku-city-circuit,https://www.motorsportstats.com/results/fia-formula-2-championship/2019/baku/info
ee3663f7-da8a-41b2-8761-54df52513993,2019,3,2019-05-10,2019-05-12,Catalunya,CAT,circuit-de-barcelona-catalunya_circuit-de-barcelona-catalunya,https://www.motorsportstats.com/results/fia-formula-2-championship/2019/catalunya/info
19caaf49-dd66-414a-8f44-cd2f11a8f9d0,2019,4,2019-05-23,2019-05-25,Monaco,MCO,circuit-de-monaco_circuit-de-monaco,https://www.motorsportstats.com/results/fia-formula-2-championship/2019/monaco/info
8ff399c5-3c85-4cc8-92d9-03b689353a1c,2019,5,2019-06-21,2019-06-23,Paul Ricard,RIC,circuit-paul-ricard_circuit-paul-ricard-short,https://www.motorsportstats.com/results/fia-formula-2-championship/2019/paul-ricard/info
a66b17ae-96bd-441b-a536-67a64df51bb4,2019,6,2019-06-28,2019-06-30,Red Bull Ring,SPI,red-bull-ring_red-bull-ring,https://www.motorsportstats.com/results/fia-formula-2-championship/2019/red-bull-ring/info
e4fe319a-1bfb-487e-a633-5fb2567858a1,2019,7,2019-07-12,2019-07-14,Silverstone,SIL,silverstone-circuit_silverstone-circuit,https://www.motorsportstats.com/results/fia-formula-2-championship/2019/silverstone/info
fdbc0701-a4d2-413a-a76a-60e244f9e60c,2019,8,2019-08-02,2019-08-04,Hungaroring,HUN,hungaroring_hungaroring,https://www.motorsportstats.com/results/fia-formula-2-championship/2019/hungaroring/info
3dab9ea9-3a5f-4d66-85df-7a53c54eed55,2019,9,2019-08-30,2019-09-01,Spa-Francorchamps,SPA,circuit-de-spa-francorchamps_circuit-de-spa-francorchamps,https://www.motorsportstats.com/results/fia-formula-2-championship/2019/spa-francorchamps/info
c828636b-8f30-42f9-a204-c2c8fa098f7a,2019,10,2019-09-06,2019-09-08,Monza,MON,autodromo-nazionale-monza_autodromo-nazionale-monza,https://www.motorsportstats.com/results/fia-formula-2-championship/2019/monza/info
d9122d03-c1b0-4982-8baf-ed552ff160f5,2019,11,2019-09-27,2019-09-29,Sochi,SOC,sochi-autodrom_sochi-autodrom,https://www.motorsportstats.com/results/fia-formula-2-championship/2019/sochi/info
463bcec8-e646-4ef4-9947-bfa17dc44d67,2019,12,2019-11-29,2019-12-01,Yas Marina,YAS,yas-marina-circuit_yas-marina-circuit,https://www.motorsportstats.com/results/fia-formula-2-championship/2019/yas-marina/info
da549643-40c0-410f-9c53-8a5141c8cca6,2020,1,2020-07-03,2020-07-05,Spielberg,RBR,red-bull-ring_red-bull-ring,https://www.motorsportstats.com/results/fia-formula-2-championship/2020/spielberg/info
c42b3347-4142-45ce-bf5f-9912827efd4f,2020,2,2020-07-10,2020-07-12,Spielberg,RBR,red-bull-ring_red-bull-ring,https://www.motorsportstats.com/results/fia-formula-2-championship/2020/spielberg-2/info
d60da7bd-234c-4eb6-b96a-f5a1dc0dd1d9,2020,3,2020-07-17,2020-07-19,Budapest,BUD,hungaroring_hungaroring,https://www.motorsportstats.com/results/fia-formula-2-championship/2020/budapest/info
835cc41b-f3ee-4205-ae0f-30c82ac651ad,2020,4,2020-07-31,2020-08-02,Silverstone,SIL,silverstone-circuit_silverstone-circuit,https://www.motorsportstats.com/results/fia-formula-2-championship/2020/silverstone/info
2d8473bf-eef5-4303-b311-aae9a6ab804c,2020,5,2020-08-07,2020-08-09,Silverstone,SIL,silverstone-circuit_silverstone-circuit,https://www.motorsportstats.com/results/fia-formula-2-championship/2020/silverstone-2/info
8076d1b3-757f-4531-838e-ed118c7ddcd7,2020,6,2020-08-14,2020-08-16,Barcelona,BLA,circuit-de-barcelona-catalunya_circuit-de-barcelona-catalunya,https://www.motorsportstats.com/results/fia-formula-2-championship/2020/barcelona/info
1ad0b4fc-14a3-431b-9bde-d21cda38f176,2020,7,2020-08-28,2020-08-30,Spa-Francorchamps,SPA,circuit-de-spa-francorchamps_circuit-de-spa-francorchamps,https://www.motorsportstats.com/results/fia-formula-2-championship/2020/spa-francorchamps/info
b67559b3-c3e3-46af-8702-1b30df331105,2020,8,2020-09-04,2020-09-06,Monza,MON,autodromo-nazionale-monza_autodromo-nazionale-monza,https://www.motorsportstats.com/results/fia-formula-2-championship/2020/monza/info
9b28c61c-2536-4a15-9ebc-44587e0961be,2020,9,2020-09-11,2020-09-13,Mugello,TUS,mugello-circuit_mugello-circuit,https://www.motorsportstats.com/results/fia-formula-2-championship/2020/mugello/info
65d140ca-cd32-44d4-9950-fc73976c88d0,2020,10,2020-09-25,2020-09-27,Sochi,SOC,sochi-autodrom_sochi-autodrom,https://www.motorsportstats.com/results/fia-formula-2-championship/2020/sochi/info
e24b74e1-0fd4-41e3-8df3-c780450a2acc,2020,11,2020-11-27,2020-11-29,Sakhir,BIC,bahrain-international-circuit_bahrain-international-circuit,https://www.motorsportstats.com/results/fia-formula-2-championship/2020/sakhir/info
5e964eb0-894a-4255-bde2-4a6a00860392,2020,12,2020-12-04,2020-12-06,Sakhir,BIC,bahrain-international-circuit_bahrain-international-circuit,https://www.motorsportstats.com/results/fia-formula-2-championship/2020/sakhir-2/info
af3bb76c-ea2b-4998-bc39-1ff1b11b6aba,2021,1,2021-03-26,2021-03-28,Sakhir,BIC,bahrain-international-circuit_bahrain-international-circuit,https://www.motorsportstats.com/results/fia-formula-2-championship/2021/sakhir/info
8f0d7462-5023-4018-bc8c-15d4bdb8b61b,2021,2,2021-05-20,2021-05-22,Monte Carlo,MNC,circuit-de-monaco_circuit-de-monaco,https://www.motorsportstats.com/results/fia-formula-2-championship/2021/monte-carlo/info
7f8265b3-6679-46cd-99a0-5141af076d12,2021,3,2021-06-04,2021-06-06,Baku,BKU,baku-city-circuit_baku-city-circuit,https://www.motorsportstats.com/results/fia-formula-2-championship/2021/baku/info
bbdfceac-9c45-45e3-972d-fd79af5e7951,2021,4,2021-07-16,2021-07-18,Silverstone,SIL,silverstone-circuit_silverstone-circuit,https://www.motorsportstats.com/results/fia-formula-2-championship/2021/silverstone/info
81b39dce-1ed3-4f10-a14d-5ec59af20117,2021,5,2021-09-10,2021-09-12,Monza,MON,autodromo-nazionale-monza_autodromo-nazionale-monza,https://www.motorsportstats.com/results/fia-formula-2-championship/2021/monza/info
096c0b2c-4105-45da-ba87-59a493f82ebd,2021,6,2021-09-24,2021-09-26,Sochi,SOC,sochi-autodrom_sochi-autodrom,https://www.motorsportstats.com/results/fia-formula-2-championship/2021/sochi/info
aaf36399-14b5-444b-9eab-778a2ca2ec37,2021,7,2021-12-03,2021-12-05,Jeddah,SAU,jeddah-corniche-circuit_jeddah-street-circuit,https://www.motorsportstats.com/results/fia-formula-2-championship/2021/jeddah/info
ce807a2f-8fcf-4a24-a6fe-6706b2a93fc9,2021,8,2021-12-10,2021-12-12,Yas Marina,YAS,yas-marina-circuit_yas-marina-circuit-2,https://www.motorsportstats.com/results/fia-formula-2-championship/2021/yas-marina/info
0dd3e5e5-ef33-47ce-84a1-baa77cb5a445,2022,1,2022-03-17,2022-03-20,Sakhir,BHR,bahrain-international-circuit_bahrain-international-circuit,https://www.motorsportstats.com/results/fia-formula-2-championship/2022/sakhir/info
69b6dee4-0ef8-48e6-899c-fd3b638bee58,2022,2,2022-03-25,2022-03-27,Jeddah,SAU,jeddah-corniche-circuit_jeddah-street-circuit,https://www.motorsportstats.com/results/fia-formula-2-championship/2022/jeddah/info
29aa9ff7-362c-4df2-a7e8-bbdbdb6cb53b,2022,3,2022-04-22,2022-04-24,Imola,ROM,autodromo-enzo-e-dino-ferrari_autodromo-enzo-e-dino-ferrari-2,https://www.motorsportstats.com/results/fia-formula-2-championship/2022/imola/info
defe9212-01f9-49ba-b666-710e065141a4,2022,4,2022-05-20,2022-05-22,Barcelona,ESP,circuit-de-barcelona-catalunya_circuit-de-barcelona-catalunya,https://www.motorsportstats.com/results/fia-formula-2-championship/2022/barcelona/info
3239da92-42de-467e-a4f9-088e550af0e2,2022,5,2022-05-26,2022-05-29,Monte Carlo,MCO,circuit-de-monaco_circuit-de-monaco,https://www.motorsportstats.com/results/fia-formula-2-championship/2022/monte-carlo/info
22ec67d6-0f30-42b8-a2e0-9380d84ec004,2022,6,2022-06-10,2022-06-12,Baku,AZE,baku-city-circuit_baku-city-circuit,https://www.motorsportstats.com/results/fia-formula-2-championship/2022/baku/info
84a8dddd-d240-4907-85a4-da76bd196e9e,2022,7,2022-07-01,2022-07-03,Silverstone,GBR,silverstone-circuit_silverstone-circuit,https://www.motorsportstats.com/results/fia-formula-2-championship/2022/silverstone/info
4a101acc-3a7e-4e65-8bb7-07557208fe7f,2022,8,2022-07-08,2022-07-10,Spielberg,AUT,red-bull-ring_red-bull-ring,https://www.motorsportstats.com/results/fia-formula-2-championship/2022/spielberg/info
1bbffe71-0c27-410c-be43-122ff2fa43f0,2022,9,2022-07-22,2022-07-24,Le Castellet,FRA,circuit-paul-ricard_circuit-paul-ricard-short,https://www.motorsportstats.com/results/fia-formula-2-championship/2022/le-castellet/info
79c6788d-fd09-44b8-8dad-32c6c68a4924,2022,10,2022-07-29,2022-07-31,Budapest,HUN,hungaroring_hungaroring,https://www.motorsportstats.com/results/fia-formula-2-championship/2022/budapest/info
1dec9ded-4f4b-44cf-9a16-95d284bae790,2022,11,2022-08-26,2022-08-28,Spa-Francorchamps,BEL,circuit-de-spa-francorchamps_circuit-de-spa-francorchamps,https://www.motorsportstats.com/results/fia-formula-2-championship/2022/spa-francorchamps/info
947eb011-2ab4-4237-99cb-4e588b7c96db,2022,12,2022-09-02,2022-09-04,Zandvoort,NLD,circuit-zandvoort_circuit-zandvoort,https://www.motorsportstats.com/results/fia-formula-2-championship/2022/zandvoort/info
51b7dc2a-3755-4eac-b9f3-5ced142c2a5b,2022,13,2022-09-09,2022-09-11,Monza,ITA,autodromo-nazionale-monza_autodromo-nazionale-monza,https://www.motorsportstats.com/results/fia-formula-2-championship/2022/monza/info
018d07d9-1968-43fd-bf4b-402ab81064f1,2022,14,2022-11-18,2022-11-20,Yas Island,ARE,yas-marina-circuit_yas-marina-circuit-2,https://www.motorsportstats.com/results/fia-formula-2-championship/2022/yas-island/info
21eb5cdd-810c-4531-924d-7c4990812526,2023,1,2023-03-03,2023-03-05,Sakhir,BHR,bahrain-international-circuit_bahrain-international-circuit,https://www.motorsportstats.com/results/fia-formula-2-championship/2023/sakhir/info
858dcff2-1d05-4ce4-8033-24f9171f9dfc,2023,2,2023-03-17,2023-03-19,Jeddah,SAU,jeddah-corniche-circuit_jeddah-street-circuit,https://www.motorsportstats.com/results/fia-formula-2-championship/2023/jeddah/info
bbb52160-69ad-404d-93f8-7c75fefe7c94,2023,3,2023-03-31,2023-04-02,Melbourne,AUS,melbourne-grand-prix-circuit_melbourne-grand-prix-circuit-2,https://www.motorsportstats.com/results/fia-formula-2-championship/2023/melbourne/info
ae63f6e1-2eff-4b94-8c41-2715c5af55c9,2023,4,2023-04-28,2023-04-30,Azerbaijan Grand Prix,AZE,baku-city-circuit_baku-city-circuit,https://www.motorsportstats.com/results/fia-formula-2-championship/2023/azerbaijan-grand-prix/info
0b149556-ab24-4ecc-8bef-e1d6db1d3ae1,2023,6,2023-05-25,2023-05-28,Monaco,MCO,circuit-de-monaco_circuit-de-monaco,https://www.motorsportstats.com/results/fia-formula-2-championship/2023/monaco/info
34088dc9-0f5a-4563-bae7-06c80a66c163,2023,7,2023-06-02,2023-06-04,Catalunya,ESP,circuit-de-barcelona-catalunya_circuit-de-barcelona-catalunya,https://www.motorsportstats.com/results/fia-formula-2-championship/2023/catalunya/info
35772561-a143-4ce5-a543-d88eb920e66a,2023,8,2023-06-30,2023-07-02,Red Bull Ring,AUT,red-bull-ring_red-bull-ring,https://www.motorsportstats.com/results/fia-formula-2-championship/2023/red-bull-ring/info
d8ee365e-3efa-49fe-8ea9-5299b50dfe44,2023,9,2023-07-07,2023-07-09,Silverstone,GBR,silverstone-circuit_silverstone-circuit,https://www.motorsportstats.com/results/fia-formula-2-championship/2023/silverstone/info
8b2bcdce-dc0e-4dab-852f-4504390b21de,2023,10,2023-07-21,2023-07-23,Hungaroring,HUN,hungaroring_hungaroring,https://www.motorsportstats.com/results/fia-formula-2-championship/2023/hungaroring/info
a20a9b68-9266-4ecb-b948-c43d8b83675f,2023,11,2023-07-28,2023-07-30,Spa-Francorchamps,BEL,circuit-de-spa-francorchamps_circuit-de-spa-francorchamps,https://www.motorsportstats.com/results/fia-formula-2-championship/2023/spa-francorchamps/info
1b94ef47-0a48-4186-b8fe-8d31c257c382,2023,12,2023-08-25,2023-08-27,Zandvoort,NLD,circuit-zandvoort_circuit-zandvoort,https://www.motorsportstats.com/results/fia-formula-2-championship/2023/zandvoort/info
33910193-9638-473e-8d9a-f410c6264108,2023,13,2023-09-01,2023-09-03,Monza,ITA,autodromo-nazionale-monza_autodromo-nazionale-monza,https://www.motorsportstats.com/results/fia-formula-2-championship/2023/monza/info
7e7360b9-7708-4558-aadc-5c160695c9c4,2023,14,2023-11-24,2023-11-26,Yas Marina,ARE,yas-marina-circuit_yas-marina-circuit-2,https://www.motorsportstats.com/results/fia-formula-2-championship/2023/yas-marina/info
04436999-f5f0-4ae9-b830-0fdc05947c74,2024,1,2024-02-29,2024-03-02,Sakhir,BHR,bahrain-international-circuit_bahrain-international-circuit,https://www.motorsportstats.com/results/fia-formula-2-championship/2024/sakhir/info
274ee1fe-eacd-420b-ab1e-d557fc034d58,2024,2,2024-03-07,2024-03-09,Jeddah,SAU,jeddah-corniche-circuit_jeddah-street-circuit,https://www.motorsportstats.com/results/fia-formula-2-championship/2024/jeddah/info
0c02d906-63cb-4497-ac05-cfc771475bba,2024,3,2024-03-22,2024-03-24,Melbourne,AUS,melbourne-grand-prix-circuit_melbourne-grand-prix-circuit-2,https://www.motorsportstats.com/results/fia-formula-2-championship/2024/melbourne/info
bb5b09d5-fc30-4cc8-8f0e-5d25f65bb587,2024,4,2024-05-17,2024-05-19,Imola,ROM,autodromo-enzo-e-dino-ferrari_autodromo-enzo-e-dino-ferrari-2,https://www.motorsportstats.com/results/fia-formula-2-championship/2024/imola/info
b4c7b508-cce0-4c57-8de0-c2ae067f69c9,2024,5,2024-05-23,2024-05-26,Monte Carlo,MCO,circuit-de-monaco_circuit-de-monaco,https://www.motorsportstats.com/results/fia-formula-2-championship/2024/monte-carlo/info
ca53a24d-f9a6-4ee2-8642-d030498d1d5a,2024,6,2024-06-21,2024-06-23,Barcelona,ESP,circuit-de-barcelona-catalunya_circuit-de-barcelona-catalunya,https://www.motorsportstats.com/results/fia-formula-2-championship/2024/barcelona/info
d9a5d8d8-784b-4147-a9eb-2fd4486f88a7,2024,7,2024-06-28,2024-06-30,Spielburg,AUT,red-bull-ring_red-bull-ring,https://www.motorsportstats.com/results/fia-formula-2-championship/2024/spielburg/info
efd63b5b-8d6c-43aa-89e6-6c91169b392d,2024,8,2024-07-05,2024-07-07,Silverstone,GBR,silverstone-circuit_silverstone-circuit,https://www.motorsportstats.com/results/fia-formula-2-championship/2024/silverstone/info
5e0c4aa5-0d87-448d-9732-303a04816f2c,2024,9,2024-07-19,2024-07-21,Budapest,HUN,hungaroring_hungaroring,https://www.motorsportstats.com/results/fia-formula-2-championship/2024/budapest/info
a56c4ba8-f66d-4fb9-acb7-2b1a504af9c9,2024,10,2024-07-26,2024-07-28,Spa-Francorchamps,BEL,circuit-de-spa-francorchamps_circuit-de-spa-francorchamps,https://www.motorsportstats.com/results/fia-formula-2-championship/2024/spa-francorchamps/info
cdd4ad52-da4d-4f0c-a7d8-cdba1238d451,2024,11,2024-08-30,2024-09-01,Monza,ITA,autodromo-nazionale-monza_autodromo-nazionale-monza,https://www.motorsportstats.com/results/fia-formula-2-championship/2024/monza/info
761f0484-9b8d-41a6-b60e-3124d1e665a8,2024,12,2024-09-13,2024-09-15,Baku,AZE,baku-city-circuit_baku-city-circuit,https://www.motorsportstats.com/results/fia-formula-2-championship/2024/baku/info
934eb008-a635-4338-ba53-b772c60b4902,2024,13,2024-11-29,2024-12-01,Lusail,QAT,losail-international-circuit_losail-international-circuit,https://www.motorsportstats.com/results/fia-formula-2-championship/2024/lusail/info
87f8d3be-6e5b-4ac5-b113-f5d57a3c3397,2024,14,2024-12-06,2024-12-08,Yas Island,ARE,yas-marina-circuit_yas-marina-circuit-2,https://www.motorsportstats.com/results/fia-formula-2-championship/2024/yas-island/info
21bd4adc-f209-4c2c-9e1a-eeac4b6a753f,2025,1,2025-03-14,2025-03-16,Melbourne,AUS,melbourne-grand-prix-circuit_melbourne-grand-prix-circuit-2,https://www.motorsportstats.com/results/fia-formula-2-championship/2025/melbourne/info
4de71228-38a4-44dc-bfab-5ca687fa8ee9,2025,2,2025-04-11,2025-04-13,Sakhir,BHR,bahrain-international-circuit_bahrain-international-circuit,https://www.motorsportstats.com/results/fia-formula-2-championship/2025/sakhir/info
8e9aa1dd-89f7-44c4-bb68-429eea483329,2025,3,2025-04-18,2025-04-20,Jeddah,SAU,jeddah-corniche-circuit_jeddah-street-circuit,https://www.motorsportstats.com/results/fia-formula-2-championship/2025/jeddah/info
492bf8fc-6c7f-416a-9c4b-41e4ef4be1fe,2025,4,2025-05-16,2025-05-18,Imola,ROM,autodromo-enzo-e-dino-ferrari_autodromo-enzo-e-dino-ferrari-2,https://www.motorsportstats.com/results/fia-formula-2-championship/2025/imola/info
58d4e5f7-09cd-4c7a-a91b-2b36cd1316be,2025,5,2025-05-22,2025-05-25,Monte Carlo,MCO,circuit-de-monaco_circuit-de-monaco,https://www.motorsportstats.com/results/fia-formula-2-championship/2025/monte-carlo/info
a0006f0a-58ff-410f-83b9-dc2f14d908c4,2025,6,2025-05-30,2025-06-01,Barcelona,ESP,circuit-de-barcelona-catalunya_circuit-de-barcelona-catalunya,https://www.motorsportstats.com/results/fia-formula-2-championship/2025/barcelona/info
e5d69823-a80d-4829-aa92-5f225880770f,2025,7,2025-06-27,2025-06-29,Spielburg,AUT,red-bull-ring_red-bull-ring,https://www.motorsportstats.com/results/fia-formula-2-championship/2025/spielburg/info
a57a2e66-56c8-4f8c-a5ad-a7042d63566b,2025,8,2025-07-04,2025-07-06,Silverstone,GBR,silverstone-circuit_silverstone-circuit,https://www.motorsportstats.com/results/fia-formula-2-championship/2025/silverstone/info
e2100488-d6ac-499e-ae4b-3b72d6cf1734,2025,9,2025-07-25,2025-07-27,Spa-Francorchamps,BEL,circuit-de-spa-francorchamps_circuit-de-spa-francorchamps,https://www.motorsportstats.com/results/fia-formula-2-championship/2025/spa-francorchamps/info
82c79647-d5d7-4ff2-803d-fe49d16dc8e4,2025,10,2025-08-01,2025-08-03,Budapest,HUN,hungaroring_hungaroring,https://www.motorsportstats.com/results/fia-formula-2-championship/2025/budapest/info
10d7bb89-2029-4717-9f70-357aedf20a07,2025,11,2025-09-05,2025-09-07,Monza,ITA,autodromo-nazionale-monza_autodromo-nazionale-monza,https://www.motorsportstats.com/results/fia-formula-2-championship/2025/monza/info
029cb890-bf31-494d-bdf2-08f07b40b2f1,2025,12,2025-09-19,2025-09-21,Baku,AZE,baku-city-circuit_baku-city-circuit,https://www.motorsportstats.com/results/fia-formula-2-championship/2025/baku/info
7de4f609-e1e5-477f-98f1-10b9e434b885,2025,13,2025-11-28,2025-11-30,Lusail,QAT,losail-international-circuit_losail-international-circuit,https://www.motorsportstats.com/results/fia-formula-2-championship/2025/lusail/info
cc39b84f-2a59-4bb6-b5c8-2153a058015d,2025,14,2025-12-05,2025-12-07,Yas Island,ARE,yas-marina-circuit_yas-marina-circuit-2,https://www.motorsportstats.com/results/fia-formula-2-championship/2025/yas-island/info
