sessionId,raceId,year,round,positionDisplayOrder,positionNumber,points,polePosition,status,driverNumber,driverId,constructorId,laps,time,timeMillis,gapMillis,gapLaps,fastestLap,fastestLapNumber,fastestLapTime,fastestLapTimeMillis,averageSpeed
fia-formula-3-championship_2019_catalunya_free-practice,6d03f76e-70cc-4dbd-bc2f-23bfbbf38a32,2019,1,1,1,,False,,18,pedro-piquet,trident-motorsport,15,1:33.255,93255,0,0,False,,,,179.7
fia-formula-3-championship_2019_catalunya_free-practice,6d03f76e-70cc-4dbd-bc2f-23bfbbf38a32,2019,1,2,2,,False,,21,juri-vips,hitech-racing,19,1:33.264,93264,9,0,False,,,,179.683
fia-formula-3-championship_2019_catalunya_free-practice,6d03f76e-70cc-4dbd-bc2f-23bfbbf38a32,2019,1,3,3,,False,,28,robert-shwartzman,prema-racing,14,1:33.510,93510,255,0,False,,,,179.21
fia-formula-3-championship_2019_catalunya_free-practice,6d03f76e-70cc-4dbd-bc2f-23bfbbf38a32,2019,1,4,4,,False,,19,niko-kari,trident-motorsport,15,1:33.519,93519,264,0,False,,,,179.193
fia-formula-3-championship_2019_catalunya_free-practice,6d03f76e-70cc-4dbd-bc2f-23bfbbf38a32,2019,1,5,5,,False,,11,jake-hughes,hwa,17,1:33.766,93766,511,0,False,,,,178.721
fia-formula-3-championship_2019_catalunya_free-practice,6d03f76e-70cc-4dbd-bc2f-23bfbbf38a32,2019,1,6,6,,False,,31,logan-sargeant,carlin,15,1:33.879,93879,624,0,False,,,,178.506
fia-formula-3-championship_2019_catalunya_free-practice,6d03f76e-70cc-4dbd-bc2f-23bfbbf38a32,2019,1,7,7,,False,,26,marcus-armstrong,prema-racing,14,1:33.923,93923,668,0,False,,,,178.422
fia-formula-3-championship_2019_catalunya_free-practice,6d03f76e-70cc-4dbd-bc2f-23bfbbf38a32,2019,1,8,8,,False,,5,simo-laaksonen,mp-motorsport,16,1:33.938,93938,683,0,False,,,,178.394
fia-formula-3-championship_2019_catalunya_free-practice,6d03f76e-70cc-4dbd-bc2f-23bfbbf38a32,2019,1,9,9,,False,,1,david-beckmann,art-grand-prix,15,1:34.059,94059,804,0,False,,,,178.164
fia-formula-3-championship_2019_catalunya_free-practice,6d03f76e-70cc-4dbd-bc2f-23bfbbf38a32,2019,1,10,10,,False,,22,yifei-ye,hitech-racing,20,1:34.144,94144,889,0,False,,,,178.003
fia-formula-3-championship_2019_catalunya_free-practice,6d03f76e-70cc-4dbd-bc2f-23bfbbf38a32,2019,1,11,11,,False,,27,jehan-daruvala,prema-racing,15,1:34.211,94211,956,0,False,,,,177.877
fia-formula-3-championship_2019_catalunya_free-practice,6d03f76e-70cc-4dbd-bc2f-23bfbbf38a32,2019,1,12,12,,False,,3,christian-lundgaard,art-grand-prix,15,1:34.237,94237,982,0,False,,,,177.828
fia-formula-3-championship_2019_catalunya_free-practice,6d03f76e-70cc-4dbd-bc2f-23bfbbf38a32,2019,1,13,13,,False,,17,devlin-defrancesco,trident-motorsport,16,1:34.301,94301,1046,0,False,,,,177.707
fia-formula-3-championship_2019_catalunya_free-practice,6d03f76e-70cc-4dbd-bc2f-23bfbbf38a32,2019,1,14,14,,False,,10,bent-viscaal,hwa,17,1:34.321,94321,1066,0,False,,,,177.669
fia-formula-3-championship_2019_catalunya_free-practice,6d03f76e-70cc-4dbd-bc2f-23bfbbf38a32,2019,1,15,15,,False,,2,max-fewtrell,art-grand-prix,16,1:34.367,94367,1112,0,False,,,,177.583
fia-formula-3-championship_2019_catalunya_free-practice,6d03f76e-70cc-4dbd-bc2f-23bfbbf38a32,2019,1,16,16,,False,,30,felipe-drugovich,carlin,15,1:34.475,94475,1220,0,False,,,,177.38
