sessionId,raceId,year,round,positionDisplayOrder,positionNumber,points,polePosition,status,driverNumber,driverId,constructorId,laps,time,timeMillis,gapMillis,gapLaps,fastestLap,fastestLapNumber,fastestLapTime,fastestLapTimeMillis,averageSpeed
fa-4,fa-1,2023,1,1,1,,False,,15,marta-garcia,prema-racing,9,1:43.796,103796,92,,False,4,,,149.76
fa-4,fa-1,2023,1,2,2,,False,,16,bianca-bustamante,prema-racing,8,1:44.663,104663,959,,False,3,,,148.52
fa-4,fa-1,2023,1,3,3,,False,,1,nerea-marti,campos-racing,7,1:44.845,104845,1141,,False,7,,,148.26
fa-4,fa-1,2023,1,4,4,,False,,7,lena-buhler,art-grand-prix,7,1:45.145,105145,1441,,False,2,,,147.84
fa-4,fa-1,2023,1,5,5,,False,,6,amna-al-qubaisi,mp-motorsport,7,1:45.322,105322,1618,,False,3,,,147.59
fa-4,fa-1,2023,1,6,6,,False,,5,emely-de-heus,mp-motorsport,7,1:45.405,105405,1701,,False,6,,,147.48
fa-4,fa-1,2023,1,7,7,,False,,4,hamda-al-qubaisi,mp-motorsport,7,1:45.520,105520,1816,,False,7,,,147.32
fa-4,fa-1,2023,1,8,8,,False,,8,carrie-schreiner,art-grand-prix,7,1:45.741,105741,2037,,False,3,,,147.01
fa-4,fa-1,2023,1,9,9,,False,,9,chloe-grant,art-grand-prix,7,1:46.215,106215,2511,,False,3,,,146.35
fa-4,fa-1,2023,1,10,10,,False,,2,lola-lovinfosse,campos-racing,7,1:47.121,107121,3417,,False,7,,,145.11
fa-4,fa-1,2023,1,11,11,,False,,3,maite-caceres,campos-racing,6,1:49.744,109744,6040,,False,3,,,141.65
fa-4,fa-1,2023,1,12,,,False,DSQ,11,jessica-edgar,rodin-carlin,8,1:44.317,104317,613,,False,4,,,149.02
fa-4,fa-1,2023,1,13,,,False,DSQ,12,megan-gilkes,rodin-carlin,3,1:44.979,104979,1275,,False,3,,,148.08
fa-5,fa-1,2023,1,1,1,28,True,,15,marta-garcia,prema-racing,18,30:25.732,1825732,,,True,10,1:31.767,91767,153.25
fa-5,fa-1,2023,1,2,2,18,False,,16,bianca-bustamante,prema-racing,18,30:33.815,1833815,8083,,False,13,1:32.006,92006,152.58
fa-5,fa-1,2023,1,3,3,15,False,,11,jessica-edgar,rodin-carlin,18,30:33.904,1833904,8172,,False,11,1:32.115,92115,152.57
fa-5,fa-1,2023,1,4,4,12,False,,10,abbi-pulling,rodin-carlin,18,30:34.104,1834104,8372,,False,11,1:32.257,92257,152.55
fa-5,fa-1,2023,1,5,5,10,False,,12,megan-gilkes,rodin-carlin,18,30:40.524,1840524,14790,,False,11,1:32.091,92091,152.02
fa-5,fa-1,2023,1,6,6,8,False,,14,chloe-chong,prema-racing,18,30:41.650,1841650,15910,,False,10,1:32.690,92690,151.93
fa-5,fa-1,2023,1,7,7,6,False,,4,hamda-al-qubaisi,mp-motorsport,18,30:44.647,1844647,18910,,False,11,1:32.091,92091,151.68
fa-5,fa-1,2023,1,8,8,4,False,,6,amna-al-qubaisi,mp-motorsport,18,30:40.287,1840287,14550,,False,13,1:32.102,92102,152.04
fa-5,fa-1,2023,1,9,9,2,False,,2,lola-lovinfosse,campos-racing,18,30:47.224,1847224,21490,,False,13,1:32.842,92842,151.47
fa-5,fa-1,2023,1,10,10,1,False,,9,chloe-grant,art-grand-prix,18,31:24.112,1884112,58380,,False,10,1:32.671,92671,148.50
fa-5,fa-1,2023,1,11,11,0,False,,3,maite-caceres,campos-racing,18,31:39.635,1899635,63000,,False,13,1:34.486,94486,148.07
fa-5,fa-1,2023,1,12,,0,False,DSQ,1,nerea-marti,campos-racing,18,30:30.239,1830239,4507,,False,13,1:32.045,92045,152.87
fa-6,fa-1,2023,1,1,1,11,False,,6,amna-al-qubaisi,mp-motorsport,12,18:37.685,1117685,,,True,6,1:32.123,92123,166.89
fa-6,fa-1,2023,1,2,2,8,False,,7,lena-buhler,art-grand-prix,12,18:39.213,1119213,1528,,False,10,1:32.574,92574,166.66
fa-6,fa-1,2023,1,3,3,6,False,,2,lola-lovinfosse,campos-racing,12,18:41.125,1121125,3440,,False,6,1:32.776,92776,166.38
fa-6,fa-1,2023,1,4,4,5,False,,1,nerea-marti,campos-racing,12,18:42.878,1122878,5193,,False,8,1:32.740,92740,166.12
fa-6,fa-1,2023,1,5,5,4,False,,4,hamda-al-qubaisi,mp-motorsport,12,18:43.181,1123181,5496,,False,10,1:32.311,92311,166.07
fa-6,fa-1,2023,1,6,6,3,False,,5,emely-de-heus,mp-motorsport,12,18:48.023,1128023,10330,,False,6,1:32.846,92846,165.36
fa-6,fa-1,2023,1,7,7,2,False,,15,marta-garcia,prema-racing,12,18:48.892,1128892,11290,,False,10,1:32.724,92724,165.22
