id,seasonKey,year,round,date,endDate,name,code,circuitId,sourceUrl
fe-2014-15-r1-beijing,2014-15,2015,1,2014-09-13,,Beijing E-Prix,R1,beijing,https://www.fiaformulae.com/en/results-and-standings?season=1&round=1-beijing
fe-2014-15-r2-putrajaya,2014-15,2015,2,2014-11-22,,Putrajaya E-Prix,R2,putrajaya,https://www.fiaformulae.com/en/results-and-standings?season=1&round=2-putrajaya
fe-2014-15-r3-punta-del-este,2014-15,2015,3,2014-12-13,,Punta Del Este E-Prix,R3,punta-del-este,https://www.fiaformulae.com/en/results-and-standings?season=1&round=3-punta-del-este
fe-2014-15-r4-buenos-aires,2014-15,2015,4,2015-01-10,,Buenos Aires E-Prix,R4,buenos-aires,https://www.fiaformulae.com/en/results-and-standings?season=1&round=4-buenos-aires
fe-2014-15-r5-miami,2014-15,2015,5,2015-03-14,,Miami E-Prix,R5,miami,https://www.fiaformulae.com/en/results-and-standings?season=1&round=5-miami
fe-2014-15-r6-long-beach,2014-15,2015,6,2015-04-04,,Long Beach E-Prix,R6,long-beach,https://www.fiaformulae.com/en/results-and-standings?season=1&round=6-long-beach
fe-2014-15-r7-monaco,2014-15,2015,7,2015-05-09,,Monaco E-Prix,R7,monaco,https://www.fiaformulae.com/en/results-and-standings?season=1&round=7-monaco
fe-2014-15-r8-berlin,2014-15,2015,8,2015-05-23,,Berlin E-Prix,R8,berlin,https://www.fiaformulae.com/en/results-and-standings?season=1&round=8-berlin
fe-2014-15-r9-moscow,2014-15,2015,9,2015-06-06,,Moscow E-Prix,R9,moscow,https://www.fiaformulae.com/en/results-and-standings?season=1&round=9-moscow
fe-2014-15-r10-london,2014-15,2015,10,2015-06-27,,London E-Prix,R10,london,https://www.fiaformulae.com/en/results-and-standings?season=1&round=10-london
fe-2014-15-r11-london,2014-15,2015,11,2015-06-28,,London E-Prix,R11,london,https://www.fiaformulae.com/en/results-and-standings?season=1&round=11-london
fe-2015-16-r1-beijing,2015-16,2016,1,2015-10-24,,Beijing E-Prix,R1,beijing,https://www.fiaformulae.com/en/results-and-standings?season=2&round=1-beijing
fe-2015-16-r2-putrajaya,2015-16,2016,2,2015-11-07,,Putrajaya E-Prix,R2,putrajaya,https://www.fiaformulae.com/en/results-and-standings?season=2&round=2-putrajaya
fe-2015-16-r3-punta-del-este,2015-16,2016,3,2015-12-19,,Punta Del Este E-Prix,R3,punta-del-este,https://www.fiaformulae.com/en/results-and-standings?season=2&round=3-punta-del-este
fe-2015-16-r4-buenos-aires,2015-16,2016,4,2016-02-06,,Buenos Aires E-Prix,R4,buenos-aires,https://www.fiaformulae.com/en/results-and-standings?season=2&round=4-buenos-aires
fe-2015-16-r5-mexico-city,2015-16,2016,5,2016-03-12,,Mexico City E-Prix,R5,mexico-city,https://www.fiaformulae.com/en/results-and-standings?season=2&round=5-mexico-city
fe-2015-16-r6-long-beach,2015-16,2016,6,2016-04-02,,Long Beach E-Prix,R6,long-beach,https://www.fiaformulae.com/en/results-and-standings?season=2&round=6-long-beach
fe-2015-16-r7-paris,2015-16,2016,7,2016-04-23,,Paris E-Prix,R7,paris,https://www.fiaformulae.com/en/results-and-standings?season=2&round=7-paris
fe-2015-16-r8-berlin,2015-16,2016,8,2016-05-21,,Berlin E-Prix,R8,berlin,https://www.fiaformulae.com/en/results-and-standings?season=2&round=8-berlin
fe-2015-16-r9-london,2015-16,2016,9,2016-07-02,,London E-Prix,R9,london,https://www.fiaformulae.com/en/results-and-standings?season=2&round=9-london
fe-2015-16-r10-london,2015-16,2016,10,2016-07-03,,London E-Prix,R10,london,https://www.fiaformulae.com/en/results-and-standings?season=2&round=10-london
fe-2016-17-r1-hong-kong,2016-17,2017,1,2016-10-09,,Hong Kong E-Prix,R1,hong-kong,https://www.fiaformulae.com/en/results-and-standings?season=3&round=1-hong-kong
fe-2016-17-r2-marrakesh,2016-17,2017,2,2016-11-12,,Marrakesh E-Prix,R2,marrakesh,https://www.fiaformulae.com/en/results-and-standings?season=3&round=2-marrakesh
fe-2016-17-r3-buenos-aires,2016-17,2017,3,2017-02-18,,Buenos Aires E-Prix,R3,buenos-aires,https://www.fiaformulae.com/en/results-and-standings?season=3&round=3-buenos-aires
fe-2016-17-r4-mexico-city,2016-17,2017,4,2017-04-01,,Mexico City E-Prix,R4,mexico-city,https://www.fiaformulae.com/en/results-and-standings?season=3&round=4-mexico-city
fe-2016-17-r5-monaco,2016-17,2017,5,2017-05-13,,Monaco E-Prix,R5,monaco,https://www.fiaformulae.com/en/results-and-standings?season=3&round=5-monaco
fe-2016-17-r6-paris,2016-17,2017,6,2017-05-20,,Paris E-Prix,R6,paris,https://www.fiaformulae.com/en/results-and-standings?season=3&round=6-paris
fe-2016-17-r7-berlin,2016-17,2017,7,2017-06-10,,Berlin E-Prix,R7,berlin,https://www.fiaformulae.com/en/results-and-standings?season=3&round=7-berlin
fe-2016-17-r8-berlin,2016-17,2017,8,2017-06-11,,Berlin E-Prix,R8,berlin,https://www.fiaformulae.com/en/results-and-standings?season=3&round=8-berlin
fe-2016-17-r9-new-york,2016-17,2017,9,2017-07-15,,New York E-Prix,R9,new-york,https://www.fiaformulae.com/en/results-and-standings?season=3&round=9-new-york
fe-2016-17-r10-new-york,2016-17,2017,10,2017-07-16,,New York E-Prix,R10,new-york,https://www.fiaformulae.com/en/results-and-standings?season=3&round=10-new-york
fe-2016-17-r11-montreal,2016-17,2017,11,2017-07-29,,Montreal E-Prix,R11,montreal,https://www.fiaformulae.com/en/results-and-standings?season=3&round=11-montreal
