id,name,generation,manufacturer,designer,predecessor,successor,introducedYear,retiredYear,chassisConstruction,frontSuspension,rearSuspension,lengthMm,widthMm,heightMm,wheelbaseMm,engineId,engineName,engineConfiguration,engineLayout,transmission,powerHp,powerKw,powerRpm,torqueNm,weightKg,weightIncludesDriver,weightIncludesFuel,fuel,lubricants,brakes,tyres,wheelRimLabel,debut,lastEvent,sourceUrl
spark-gen3,Spark Gen3,3,Spark Racing Technology,,spark-srt05e,spark-gen3-evo,2022,2024,,,,5016.2,1700,1023.4,2970.5,,,,,,470,350,,,840,True,,,,,Hankook,,,,https://www.fiaformulae.com/en/news/evs/formula-es-cutting-edge-electric-race-car-gen3-explained
spark-gen3-evo,Spark Gen3 Evo,4,Spark Racing Technology,,spark-gen3,,2024,,,,,,,,,,,,,,470,350,,,,,,,,,Hankook,,,,https://www.fiaformulae.com/en/news/496038
spark-srt05e,Spark SRT05e,2,Spark Racing Technology,,spark-renault-srt-01e,spark-gen3,2018,2022,,,,5200,1800,1063.5,3100,,,,,,335,250,,,900,True,,,,,Michelin,,,,https://www.fiaformulae.com/en/news/evs/formula-es-cutting-edge-electric-race-car-gen3-explained
spark-renault-srt-01e,Spark-Renault SRT_01E,1,Spark Racing Technology,,,spark-srt05e,2014,2018,,,,5000,1780,1050,3100,,,,,,270,200,,,900,True,,,,,Michelin,,,,https://www.fiaformulae.com/en/news/evs/formula-es-cutting-edge-electric-race-car-gen3-explained
