year,positionNumber,driverId,constructorId,points,championshipWon,starts,wins,podiums,poles,fastestLaps,retirements
2019,1,robert-shwartzman,prema-racing,212,True,16,3,10,2,2,1
2019,2,marcus-armstrong,prema-racing,158,False,16,3,7,3,4,0
2019,3,jehan-daruvala,prema-racing,157,False,16,2,7,1,1,0
2019,4,juri-vips,hitech-racing,141,False,16,3,4,2,2,1
2019,5,pedro-piquet,trident-motorsport,98,False,16,1,3,0,1,2
2019,6,christian-lundgaard,art-grand-prix,97,False,16,1,2,2,3,1
2019,7,jake-hughes,hwa,90,False,16,1,4,1,1,4
2019,8,leonardo-pulcini,hitech-racing,78,False,16,1,2,0,0,1
2019,9,yuki-tsunoda,jenzer-motorsport,67,False,16,1,3,0,0,0
2019,10,max-fewtrell,art-grand-prix,57,False,16,0,2,0,0,2
2019,11,liam-lawson,mp-motorsport,41,False,16,0,2,1,0,1
2019,12,niko-kari,trident-motorsport,36,False,16,0,2,1,0,2
2019,13,richard-verschoor,mp-motorsport,34,False,16,0,0,0,0,0
2019,14,david-beckmann,art-grand-prix,20,False,14,0,0,0,0,2
2019,15,bent-viscaal,hwa,10,False,16,0,0,0,0,2
2019,16,felipe-drugovich,carlin,8,False,16,0,0,0,1,1
2019,17,fabio-scherer,sauber-junior-team-by-charouz,7,False,16,0,0,1,0,5
2019,18,lirim-zendeli,sauber-junior-team-by-charouz,6,False,14,0,0,1,0,3
2019,19,logan-sargeant,carlin,5,False,16,0,0,0,1,1
2019,20,alex-peroni,campos-racing,5,False,14,0,0,1,0,5
2019,21,yifei-ye,hitech-racing,4,False,16,0,0,0,0,3
2019,22,raoul-hyman,sauber-junior-team-by-charouz,2,False,16,0,0,0,0,3
2019,23,simo-laaksonen,mp-motorsport,2,False,16,0,0,0,0,4
2019,24,teppei-natori,carlin,1,False,16,0,0,0,0,4
2019,,alessio-deledda,campos-racing,0,False,16,0,0,0,0,2
2019,,andreas-estner,jenzer-motorsport,0,False,16,0,0,0,0,0
2019,,artem-petrov,jenzer-motorsport,0,False,2,0,0,0,0,1
2019,,charles-leong,jenzer-motorsport,0,False,2,0,0,0,0,1
2019,,david-schumacher,campos-racing,0,False,2,0,0,0,0,0
2019,,devlin-defrancesco,trident-motorsport,0,False,16,0,0,0,0,1
2019,,federico-malvestiti,jenzer-motorsport,0,False,2,0,0,0,0,1
2019,,giorgio-carrara,jenzer-motorsport,0,False,8,0,0,0,0,2
2019,,keyvan-andres,hwa,0,False,15,0,0,0,0,0
2019,,sebastian-fernandez,campos-racing,0,False,16,0,0,0,0,3
2020,1,oscar-piastri,prema-racing,164,True,18,2,6,0,3,2
2020,2,theo-pourchaire,art-grand-prix,161,False,18,2,8,0,0,0
2020,3,logan-sargeant,prema-racing,160,False,18,2,6,3,2,2
2020,4,frederik-vesti,prema-racing,146.5,False,18,3,4,1,2,3
2020,5,liam-lawson,hitech-racing,143,False,18,3,6,2,1,3
2020,6,david-beckmann,trident-motorsport,139.5,False,18,2,6,1,0,1
2020,7,jake-hughes,hwa,111.5,False,18,2,4,1,3,2
2020,8,lirim-zendeli,trident-motorsport,104,False,18,1,3,2,1,2
2020,9,richard-verschoor,mp-motorsport,69,False,18,0,1,1,0,0
2020,10,alex-peroni,campos-racing,64,False,18,0,3,0,2,1
2020,11,alexander-smolyar,art-grand-prix,59,False,18,0,1,2,0,2
2020,12,clement-novalak,carlin,45,False,18,0,2,1,2,2
2020,13,bent-viscaal,mp-motorsport,40,False,18,1,2,0,1,4
2020,14,sebastian-fernandez,art-grand-prix,31,False,18,0,0,1,0,2
2020,15,enzo-fittipaldi,hwa,27,False,18,0,0,0,0,0
2020,16,oliver-olli-caldwell,trident-motorsport,18,False,18,0,0,0,0,3
2020,17,dennis-hauger,hitech-racing,14,False,18,0,1,0,1,1
2020,18,matteo-nannini,jenzer-motorsport,11,False,18,0,1,1,0,2
2020,19,pierre-louis-chovet,hitech-racing,5,False,4,0,0,0,0,1
2020,20,max-fewtrell,hitech-racing,5,False,12,0,0,0,0,2
2020,21,roman-stanek,charouz-racing-system,3,False,18,0,0,0,0,0
2020,22,ben-barnicoat,carlin,1,False,4,0,0,1,0,1
2020,23,michael-belov,charouz-racing-system,1,False,6,0,0,1,0,1
2020,24,igor-fraga,charouz-racing-system,1,False,16,0,0,0,0,2
2020,25,cameron-das,carlin,0,False,18,0,0,0,0,2
2020,26,jack-doohan,hwa,0,False,18,0,0,0,0,4
2020,27,lukas-dunner,mp-motorsport,0,False,18,0,0,0,0,4
2020,28,david-schumacher,carlin,0,False,18,0,0,0,0,2
2020,29,sophia-florsch,campos-racing,0,False,16,0,0,0,0,1
2020,30,federico-malvestiti,jenzer-motorsport,0,False,18,0,0,0,0,2
2020,31,calan-williams,jenzer-motorsport,0,False,18,0,0,0,0,3
2020,32,enaam-ahmed,carlin,0,False,6,0,0,0,0,0
2020,33,leonardo-pulcini,carlin,0,False,2,0,0,0,0,0
2020,34,alessio-deledda,campos-racing,0,False,18,0,0,0,0,3
2020,35,andreas-estner,campos-racing,0,False,2,0,0,0,0,0
