id,name,abbreviation,countryCode,pictureUrl
art-grand-prix,ART Grand Prix,ART Grand Prix,fr,
campos-racing,Campos Racing,Campos Racing,es,
hitech,Hitech,Hitech,gb,
hitech-tgr,Hitech TGR,Hitech,gb,
mp-motorsport,MP Motorsport,MP Motorsport,nl,
prema-racing,PREMA Racing,PREMA Racing,it,
rodin-carlin,Rodin Carlin,Rodin Motorsport,nz,
rodin-motorsport,Rodin Motorsport,Rodin Motorsport,nz,
