id,name,countryCode,placeName,type,direction,lengthMeters,turns,sourceUrl
beijing,Beijing,cn,Beijing,,,,,https://www.fiaformulae.com/en/results-and-standings?season=2&round=1-beijing
berlin,Berlin,de,Berlin,,,,,https://www.fiaformulae.com/en/results-and-standings?season=2&round=8-berlin
buenos-aires,Buenos Aires,ar,Buenos Aires,,,,,https://www.fiaformulae.com/en/results-and-standings?season=2&round=4-buenos-aires
london,London,gb,London,,,,,https://www.fiaformulae.com/en/results-and-standings?season=2&round=10-london
long-beach,Long Beach,us,Long Beach,,,,,https://www.fiaformulae.com/en/results-and-standings?season=2&round=6-long-beach
mexico-city,Mexico City,mx,Mexico City,,,,,https://www.fiaformulae.com/en/results-and-standings?season=2&round=5-mexico-city
paris,Paris,fr,Paris,,,,,https://www.fiaformulae.com/en/results-and-standings?season=2&round=7-paris
punta-del-este,Punta Del Este,uy,Punta Del Este,,,,,https://www.fiaformulae.com/en/results-and-standings?season=2&round=3-punta-del-este
putrajaya,Putrajaya,my,Putrajaya,,,,,https://www.fiaformulae.com/en/results-and-standings?season=2&round=2-putrajaya
